PassengerId,Survived,Pclass,sex_no,Age,SibSp,Parch,Fare,Em_no
1.00 ,0.00 ,3.00 ,1.00 ,22.00 ,1.00 ,0.00 ,7.25 ,2.00 
2.00 ,1.00 ,1.00 ,0.00 ,38.00 ,1.00 ,0.00 ,71.28 ,0.00 
3.00 ,1.00 ,3.00 ,0.00 ,26.00 ,0.00 ,0.00 ,7.93 ,2.00 
4.00 ,1.00 ,1.00 ,0.00 ,35.00 ,1.00 ,0.00 ,53.10 ,2.00 
5.00 ,0.00 ,3.00 ,1.00 ,35.00 ,0.00 ,0.00 ,8.05 ,2.00 
6.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,8.46 ,1.00 
7.00 ,0.00 ,1.00 ,1.00 ,54.00 ,0.00 ,0.00 ,51.86 ,2.00 
8.00 ,0.00 ,3.00 ,1.00 ,2.00 ,3.00 ,1.00 ,21.08 ,2.00 
9.00 ,1.00 ,3.00 ,0.00 ,27.00 ,0.00 ,2.00 ,11.13 ,2.00 
10.00 ,1.00 ,2.00 ,0.00 ,14.00 ,1.00 ,0.00 ,30.07 ,0.00 
11.00 ,1.00 ,3.00 ,0.00 ,4.00 ,1.00 ,1.00 ,16.70 ,2.00 
12.00 ,1.00 ,1.00 ,0.00 ,58.00 ,0.00 ,0.00 ,26.55 ,2.00 
13.00 ,0.00 ,3.00 ,1.00 ,20.00 ,0.00 ,0.00 ,8.05 ,2.00 
14.00 ,0.00 ,3.00 ,1.00 ,39.00 ,1.00 ,5.00 ,31.28 ,2.00 
15.00 ,0.00 ,3.00 ,0.00 ,14.00 ,0.00 ,0.00 ,7.85 ,2.00 
16.00 ,1.00 ,2.00 ,0.00 ,55.00 ,0.00 ,0.00 ,16.00 ,2.00 
17.00 ,0.00 ,3.00 ,1.00 ,2.00 ,4.00 ,1.00 ,29.13 ,1.00 
18.00 ,1.00 ,2.00 ,1.00 ,,0.00 ,0.00 ,13.00 ,2.00 
19.00 ,0.00 ,3.00 ,0.00 ,31.00 ,1.00 ,0.00 ,18.00 ,2.00 
20.00 ,1.00 ,3.00 ,0.00 ,,0.00 ,0.00 ,7.23 ,0.00 
21.00 ,0.00 ,2.00 ,1.00 ,35.00 ,0.00 ,0.00 ,26.00 ,2.00 
22.00 ,1.00 ,2.00 ,1.00 ,34.00 ,0.00 ,0.00 ,13.00 ,2.00 
23.00 ,1.00 ,3.00 ,0.00 ,15.00 ,0.00 ,0.00 ,8.03 ,1.00 
24.00 ,1.00 ,1.00 ,1.00 ,28.00 ,0.00 ,0.00 ,35.50 ,2.00 
25.00 ,0.00 ,3.00 ,0.00 ,8.00 ,3.00 ,1.00 ,21.08 ,2.00 
26.00 ,1.00 ,3.00 ,0.00 ,38.00 ,1.00 ,5.00 ,31.39 ,2.00 
27.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.23 ,0.00 
28.00 ,0.00 ,1.00 ,1.00 ,19.00 ,3.00 ,2.00 ,263.00 ,2.00 
29.00 ,1.00 ,3.00 ,0.00 ,,0.00 ,0.00 ,7.88 ,1.00 
30.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.90 ,2.00 
31.00 ,0.00 ,1.00 ,1.00 ,40.00 ,0.00 ,0.00 ,27.72 ,0.00 
32.00 ,1.00 ,1.00 ,0.00 ,,1.00 ,0.00 ,146.52 ,0.00 
33.00 ,1.00 ,3.00 ,0.00 ,,0.00 ,0.00 ,7.75 ,1.00 
34.00 ,0.00 ,2.00 ,1.00 ,66.00 ,0.00 ,0.00 ,10.50 ,2.00 
35.00 ,0.00 ,1.00 ,1.00 ,28.00 ,1.00 ,0.00 ,82.17 ,0.00 
36.00 ,0.00 ,1.00 ,1.00 ,42.00 ,1.00 ,0.00 ,52.00 ,2.00 
37.00 ,1.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.23 ,0.00 
38.00 ,0.00 ,3.00 ,1.00 ,21.00 ,0.00 ,0.00 ,8.05 ,2.00 
39.00 ,0.00 ,3.00 ,0.00 ,18.00 ,2.00 ,0.00 ,18.00 ,2.00 
40.00 ,1.00 ,3.00 ,0.00 ,14.00 ,1.00 ,0.00 ,11.24 ,0.00 
41.00 ,0.00 ,3.00 ,0.00 ,40.00 ,1.00 ,0.00 ,9.48 ,2.00 
42.00 ,0.00 ,2.00 ,0.00 ,27.00 ,1.00 ,0.00 ,21.00 ,2.00 
43.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.90 ,0.00 
44.00 ,1.00 ,2.00 ,0.00 ,3.00 ,1.00 ,2.00 ,41.58 ,0.00 
45.00 ,1.00 ,3.00 ,0.00 ,19.00 ,0.00 ,0.00 ,7.88 ,1.00 
46.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,8.05 ,2.00 
47.00 ,0.00 ,3.00 ,1.00 ,,1.00 ,0.00 ,15.50 ,1.00 
48.00 ,1.00 ,3.00 ,0.00 ,,0.00 ,0.00 ,7.75 ,1.00 
49.00 ,0.00 ,3.00 ,1.00 ,,2.00 ,0.00 ,21.68 ,0.00 
50.00 ,0.00 ,3.00 ,0.00 ,18.00 ,1.00 ,0.00 ,17.80 ,2.00 
51.00 ,0.00 ,3.00 ,1.00 ,7.00 ,4.00 ,1.00 ,39.69 ,2.00 
52.00 ,0.00 ,3.00 ,1.00 ,21.00 ,0.00 ,0.00 ,7.80 ,2.00 
53.00 ,1.00 ,1.00 ,0.00 ,49.00 ,1.00 ,0.00 ,76.73 ,0.00 
54.00 ,1.00 ,2.00 ,0.00 ,29.00 ,1.00 ,0.00 ,26.00 ,2.00 
55.00 ,0.00 ,1.00 ,1.00 ,65.00 ,0.00 ,1.00 ,61.98 ,0.00 
56.00 ,1.00 ,1.00 ,1.00 ,,0.00 ,0.00 ,35.50 ,2.00 
57.00 ,1.00 ,2.00 ,0.00 ,21.00 ,0.00 ,0.00 ,10.50 ,2.00 
58.00 ,0.00 ,3.00 ,1.00 ,28.50 ,0.00 ,0.00 ,7.23 ,0.00 
59.00 ,1.00 ,2.00 ,0.00 ,5.00 ,1.00 ,2.00 ,27.75 ,2.00 
60.00 ,0.00 ,3.00 ,1.00 ,11.00 ,5.00 ,2.00 ,46.90 ,2.00 
61.00 ,0.00 ,3.00 ,1.00 ,22.00 ,0.00 ,0.00 ,7.23 ,0.00 
62.00 ,1.00 ,1.00 ,0.00 ,38.00 ,0.00 ,0.00 ,80.00 ,
63.00 ,0.00 ,1.00 ,1.00 ,45.00 ,1.00 ,0.00 ,83.48 ,2.00 
64.00 ,0.00 ,3.00 ,1.00 ,4.00 ,3.00 ,2.00 ,27.90 ,2.00 
65.00 ,0.00 ,1.00 ,1.00 ,,0.00 ,0.00 ,27.72 ,0.00 
66.00 ,1.00 ,3.00 ,1.00 ,,1.00 ,1.00 ,15.25 ,0.00 
67.00 ,1.00 ,2.00 ,0.00 ,29.00 ,0.00 ,0.00 ,10.50 ,2.00 
68.00 ,0.00 ,3.00 ,1.00 ,19.00 ,0.00 ,0.00 ,8.16 ,2.00 
69.00 ,1.00 ,3.00 ,0.00 ,17.00 ,4.00 ,2.00 ,7.93 ,2.00 
70.00 ,0.00 ,3.00 ,1.00 ,26.00 ,2.00 ,0.00 ,8.66 ,2.00 
71.00 ,0.00 ,2.00 ,1.00 ,32.00 ,0.00 ,0.00 ,10.50 ,2.00 
72.00 ,0.00 ,3.00 ,0.00 ,16.00 ,5.00 ,2.00 ,46.90 ,2.00 
73.00 ,0.00 ,2.00 ,1.00 ,21.00 ,0.00 ,0.00 ,73.50 ,2.00 
74.00 ,0.00 ,3.00 ,1.00 ,26.00 ,1.00 ,0.00 ,14.45 ,0.00 
75.00 ,1.00 ,3.00 ,1.00 ,32.00 ,0.00 ,0.00 ,56.50 ,2.00 
76.00 ,0.00 ,3.00 ,1.00 ,25.00 ,0.00 ,0.00 ,7.65 ,2.00 
77.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.90 ,2.00 
78.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,8.05 ,2.00 
79.00 ,1.00 ,2.00 ,1.00 ,0.83 ,0.00 ,2.00 ,29.00 ,2.00 
80.00 ,1.00 ,3.00 ,0.00 ,30.00 ,0.00 ,0.00 ,12.48 ,2.00 
81.00 ,0.00 ,3.00 ,1.00 ,22.00 ,0.00 ,0.00 ,9.00 ,2.00 
82.00 ,1.00 ,3.00 ,1.00 ,29.00 ,0.00 ,0.00 ,9.50 ,2.00 
83.00 ,1.00 ,3.00 ,0.00 ,,0.00 ,0.00 ,7.79 ,1.00 
84.00 ,0.00 ,1.00 ,1.00 ,28.00 ,0.00 ,0.00 ,47.10 ,2.00 
85.00 ,1.00 ,2.00 ,0.00 ,17.00 ,0.00 ,0.00 ,10.50 ,2.00 
86.00 ,1.00 ,3.00 ,0.00 ,33.00 ,3.00 ,0.00 ,15.85 ,2.00 
87.00 ,0.00 ,3.00 ,1.00 ,16.00 ,1.00 ,3.00 ,34.38 ,2.00 
88.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,8.05 ,2.00 
89.00 ,1.00 ,1.00 ,0.00 ,23.00 ,3.00 ,2.00 ,263.00 ,2.00 
90.00 ,0.00 ,3.00 ,1.00 ,24.00 ,0.00 ,0.00 ,8.05 ,2.00 
91.00 ,0.00 ,3.00 ,1.00 ,29.00 ,0.00 ,0.00 ,8.05 ,2.00 
92.00 ,0.00 ,3.00 ,1.00 ,20.00 ,0.00 ,0.00 ,7.85 ,2.00 
93.00 ,0.00 ,1.00 ,1.00 ,46.00 ,1.00 ,0.00 ,61.18 ,2.00 
94.00 ,0.00 ,3.00 ,1.00 ,26.00 ,1.00 ,2.00 ,20.58 ,2.00 
95.00 ,0.00 ,3.00 ,1.00 ,59.00 ,0.00 ,0.00 ,7.25 ,2.00 
96.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,8.05 ,2.00 
97.00 ,0.00 ,1.00 ,1.00 ,71.00 ,0.00 ,0.00 ,34.65 ,0.00 
98.00 ,1.00 ,1.00 ,1.00 ,23.00 ,0.00 ,1.00 ,63.36 ,0.00 
99.00 ,1.00 ,2.00 ,0.00 ,34.00 ,0.00 ,1.00 ,23.00 ,2.00 
100.00 ,0.00 ,2.00 ,1.00 ,34.00 ,1.00 ,0.00 ,26.00 ,2.00 
101.00 ,0.00 ,3.00 ,0.00 ,28.00 ,0.00 ,0.00 ,7.90 ,2.00 
102.00 ,0.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.90 ,2.00 
103.00 ,0.00 ,1.00 ,1.00 ,21.00 ,0.00 ,1.00 ,77.29 ,2.00 
104.00 ,0.00 ,3.00 ,1.00 ,33.00 ,0.00 ,0.00 ,8.65 ,2.00 
105.00 ,0.00 ,3.00 ,1.00 ,37.00 ,2.00 ,0.00 ,7.93 ,2.00 
106.00 ,0.00 ,3.00 ,1.00 ,28.00 ,0.00 ,0.00 ,7.90 ,2.00 
107.00 ,1.00 ,3.00 ,0.00 ,21.00 ,0.00 ,0.00 ,7.65 ,2.00 
108.00 ,1.00 ,3.00 ,1.00 ,,0.00 ,0.00 ,7.78 ,2.00 
109.00 ,0.00 ,3.00 ,1.00 ,38.00 ,0.00 ,0.00 ,7.90 ,2.00 
